name,object_id,epoch,mean_motion,eccentricity,inclination,ra_of_asc_node,arg_of_pericenter,mean_anomaly,ephemeris_type,classification_type,norad_cat_id,element_set_no,rev_at_epoch,bstar,mean_motion_dot,mean_motion_ddot,launch_country
YAM-6,2024-043AE,2024-05-03 22:03:23.390208+00:00,15.17679295,0.0013604,97.4666,249.3008,86.0301,274.2488,0,U,59126,999,909,0.00031583,6.311e-05,0.0,Syrian Arab Republic
LEMUR-2-JOHNNYTRUONG,2024-043BA,2024-05-04 19:01:40.165536+00:00,15.19171516,0.0010758,97.4645,250.2599,71.1245,289.1155,0,U,59146,999,922,0.00041247,8.622e-05,0.0,Philippines
STARLINK-31272,2024-044L,2024-05-04 20:30:15.351840+00:00,15.25975917,0.0002735,42.9993,307.9953,266.5308,93.523,0,U,59162,999,1054,0.0014865,0.00038912,0.0,Guinea-Bissau
STARLINK-31283,2024-044Y,2024-05-04 22:00:01.999584+00:00,15.40638327,0.0001648,43.0019,301.7719,290.0928,331.2727,0,U,59174,999,1068,0.0030419,0.00128665,0.0,China
STARLINK-31514,2024-045K,2024-05-04 14:28:32.477088+00:00,15.40693523,0.0001382,43.0001,331.8837,278.3328,81.7372,0,U,59187,999,969,0.00015318,6.099e-05,0.0,Philippines
STARLINK-31652,2024-050C,2024-05-04 20:52:25.292352+00:00,15.39617067,8.13e-05,53.1578,78.645,65.6721,294.4369,0,U,59256,999,843,0.00064146,0.00025341,0.0,Tajikistan
STARLINK-31633,2024-057M,2024-05-04 14:24:39.312000+00:00,15.40708438,0.0001638,43.0015,80.0337,263.6342,96.4328,0,U,59331,999,745,0.0022124,0.00093278,0.0,Bosnia and Herzegovina
STARLINK-31573,2024-057Q,2024-05-04 13:26:46.762944+00:00,15.40685928,0.00018,43.0025,80.5962,265.0208,95.0443,0,U,59334,999,738,-3.3085e-05,-1.685e-05,0.0,Mayotte
EUTELSAT 36D,2024-059A,2024-04-18 04:48:00+00:00,1.10610363,0.7802205,19.491,348.16,181.757,22.188,0,U,59346,999,24,0.0,-3.53e-06,0.0,Philippines
STARLINK-31605,2024-060A,2024-05-04 02:08:33.442080+00:00,15.40697279,3.94e-05,42.9987,145.8128,280.8208,79.2604,0,U,59348,999,640,3.0206e-05,9.59e-06,0.0,Norfolk Island
RESURS-P 4,2024-061A,2024-05-04 20:03:55.548576+00:00,15.32191059,0.0001461,97.1827,80.164,81.9041,278.2367,0,U,59371,999,528,0.00016401,5.022e-05,0.0,Tajikistan
STARLINK-31680,2024-062G,2024-05-04 09:15:31.001472+00:00,15.42820455,0.0001334,53.1588,161.1535,63.2202,296.8941,0,U,59380,999,591,-3.586e-05,-2.01e-05,0.0,Norfolk Island
STARLINK-31717,2024-062M,2024-05-04 22:00:01.999584+00:00,15.42731912,0.0001603,53.1592,158.3302,88.6762,136.503,0,U,59385,999,634,-0.062645,-0.0246326,0.0,Tajikistan
STARLINK-31534,2024-064A,2024-05-04 19:48:14.205888+00:00,15.40718663,0.0001302,42.9996,294.119,287.375,72.6964,0,U,59398,999,573,0.00025074,0.00010191,0.0,Norfolk Island
STARLINK-31507,2024-064D,2024-05-04 22:00:01.999584+00:00,15.40695672,0.0002001,42.9997,292.9279,298.5131,123.4904,0,U,59401,999,575,0.0014202,0.00059478,0.0,Norfolk Island
STARLINK-31543,2024-064E,2024-05-04 19:12:45.413568+00:00,15.40708212,0.0001536,42.9991,293.9246,262.1886,97.8796,0,U,59402,999,579,0.00021025,8.491e-05,0.0,Thailand
